Compound_No,SMILES,Value,FP_12,FP_13,FP_50,FP_336,FP_481,FP_516,FP_653,FP_880,FP_1188,FP_1192,FP_1540,FP_1673,FP_1713,FP_1893,FP_2037,PubchemFP259,PubchemFP308,PubchemFP548,PubchemFP617,PubchemFP639,APC2D1_C_C,APC2D1_C_N,APC2D1_C_O,APC2D2_C_N,APC2D2_C_O,APC2D3_C_C,APC2D3_C_N,APC2D3_C_O,APC2D3_C_S,APC2D4_C_N,APC2D4_C_O,APC2D4_C_S,APC2D5_C_C,APC2D5_C_N,APC2D5_C_O,APC2D5_C_S,APC2D5_N_O,APC2D6_C_N,APC2D7_C_C,APC2D7_C_N,APC2D7_C_O,APC2D7_C_X,APC2D7_O_O,APC2D8_C_O,APC2D9_C_C,APC2D9_C_N,APC2D9_C_O,APC2D9_N_N,APC2D10_C_N,APC2D10_C_S,APC2D10_N_O
96,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(Oc3ccc4ccccc4c3)c2)cc1,6.05,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,31,4,10,8,16,39,8,24,10,7,30,6,46,5,29,3,0,6,42,10,32,0,2,31,47,7,33,0,3,7,0
97,CN1CCC(SC(=S)NCCCCNC(=O)Nc2ccncc2)CC1,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,11,1,8,0,13,9,2,5,7,3,4,8,7,3,5,0,3,11,3,0,0,0,1,7,6,0,0,7,2,0
98,CN(C)C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3C(C)(C)C)n2)c1,5.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,19,8,3,11,3,24,15,8,0,14,4,0,24,12,10,0,0,5,20,8,6,0,0,5,16,3,5,1,5,0,0
99,Cc1ccc(S(=O)(=O)N(Cc2nnn[nH]2)c2ccc(N(Cc3nnn[nH]3)S(=O)(=O)c3ccc(C)cc3)c(OCc3ccc(F)cc3)c2)cc1,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,29,8,2,16,7,31,12,20,10,11,24,6,40,20,16,5,8,35,40,38,8,1,0,13,37,27,18,4,32,5,8
100,CC(=O)Nc1ccc(S(=O)(=O)N(CC(=O)NO)c2ccc(N(CC(=O)NO)S(=O)(=O)c3ccc(NC(C)=O)cc3)c3ccccc23)cc1,5.59,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,27,10,4,16,10,34,14,20,10,14,26,8,46,10,28,6,4,12,35,20,28,0,0,22,28,12,18,2,14,4,6
101,CN(C)C(=O)c1cncc(-c2cccc(-n3ncc(C(=O)O)c3C(F)(F)F)c2)c1,5.43,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,16,8,3,11,3,22,12,8,0,7,3,0,20,10,4,0,0,6,15,6,6,6,0,5,9,4,5,1,5,0,2
102,Cc1ccc(C(CC(=O)O)c2ccc(C#N)cc2C)cc1CN1CC(C)Cc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,30,3,2,4,4,43,8,10,5,7,14,4,41,5,16,3,0,3,37,5,10,0,0,8,27,3,8,0,3,1,0
103,Cc1ccc(C(NC(=O)Cc2ccc3c(c2)CCCC3)C(C)(C)C(=O)O)cc1,4.77,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,25,2,3,3,3,31,6,8,0,4,6,0,25,3,13,0,0,3,24,2,7,0,0,8,22,0,4,0,0,0,0
104,COc1ccc(S(=O)(=O)Nc2ccc(CCC(=O)O)c3ccccc23)cc1,5.22,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,20,1,4,3,6,24,5,10,4,5,11,4,19,3,12,3,0,1,17,2,13,0,0,6,12,0,5,0,0,0,0
105,O=C(O)c1cnn(-c2cccc([C@@H]3CCC[C@H](C(=O)N4CCCCC4)C3)c2)c1C1CC1,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,25,6,3,11,3,31,12,8,0,8,6,0,33,6,9,0,0,6,26,6,6,0,0,5,20,3,5,1,7,0,0
106,O=C1c2ccccc2C(=O)N1C[C@@H]1c2ccccc2CCN1C(=O)[C@@H]1CCCC[C@@H]1c1nn[nH]n1,5.13,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,26,8,3,11,3,37,13,12,0,23,12,0,32,16,7,0,5,11,38,15,11,0,2,8,27,12,8,2,14,0,4
107,CC[C@@H](C(=O)O)[C@H](NC(=O)Cc1ccc2c(c1)CCCC2)c1ccc(C)cc1,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,25,2,3,3,3,32,5,6,0,5,8,0,25,3,12,0,0,3,23,2,7,0,0,8,22,0,4,0,0,0,0
108,CN1CCC(SC(=S)NCCCCNC(=O)NC2CCCC2)CC1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,1,6,0,11,8,2,5,7,3,4,8,6,3,5,0,3,11,2,0,0,0,1,7,5,0,0,6,2,0
109,COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Cc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,28,5,4,10,6,42,13,12,5,11,17,4,41,9,18,3,0,9,37,11,12,0,2,10,28,6,11,1,4,1,0
110,NC(=O)c1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(OC(C(=O)O)c3ccccc3)c3ccccc23)cc1,5.57,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,27,3,7,5,11,33,7,17,5,7,25,4,37,3,25,4,1,2,36,2,20,0,4,12,21,5,15,0,4,2,2
111,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2ccc(OC(CC(=O)O)c3ccccc3)c3ccccc23)c(C)c1,6.08,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,30,2,6,4,10,38,5,16,7,7,23,4,45,2,22,4,1,2,45,2,26,0,2,14,24,2,14,0,1,2,0
112,Cc1ccc(C(CC(=O)OCCn2ccnc2)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,5.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,28,13,3,16,5,48,15,11,4,17,15,4,45,9,17,3,2,13,44,17,11,0,0,6,39,19,10,1,16,2,0
113,CC[C@H](C(=O)O)[C@H](NC(=O)Cc1ccc2c(c1)CCCC2)c1ccc(C)cc1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,25,2,3,3,3,32,5,6,0,5,8,0,25,3,12,0,0,3,23,2,7,0,0,8,22,0,4,0,0,0,0
114,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc3c(c2)CCCO3)c2ccccc12)S(=O)(=O)c1ccc2c(c1)CCCO2,6.84,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,31,4,8,8,14,40,10,22,10,10,26,10,44,6,32,8,0,4,45,6,32,0,0,22,36,4,22,0,4,4,0
115,CC[C@@H]1CN(Cc2cc(C(CCc3cn(CC)nn3)C(C)C(=O)O)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,26,5,4,10,8,36,10,15,4,10,14,4,39,7,15,4,0,10,33,13,13,0,0,8,29,6,12,1,3,1,0
116,Cc1ccc(C(CC(=O)O)c2ccc(F)cc2C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,27,2,4,3,8,39,5,12,4,5,14,4,39,3,17,3,0,2,31,3,13,3,0,8,23,1,10,0,0,1,0
117,Cc1ccc(C(CC(=O)OCCCN2CCCC2)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,5.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,31,11,3,16,5,49,15,12,4,15,13,4,46,9,19,3,0,12,47,15,12,0,0,8,40,16,10,1,15,2,0
118,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2ccc(OC(C(=O)O)c3ccc(Br)cc3)c3ccccc23)c(C)c1,6.37,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,29,2,6,4,10,37,5,15,7,7,27,4,41,2,24,4,1,2,42,2,24,1,2,10,23,2,14,0,1,2,0
