Compound_No,SMILES,Value,FP_12,FP_13,FP_50,FP_336,FP_481,FP_516,FP_653,FP_880,FP_1188,FP_1192,FP_1540,FP_1673,FP_1713,FP_1893,FP_2037,PubchemFP259,PubchemFP308,PubchemFP548,PubchemFP617,PubchemFP639,APC2D1_C_C,APC2D1_C_N,APC2D1_C_O,APC2D2_C_N,APC2D2_C_O,APC2D3_C_C,APC2D3_C_N,APC2D3_C_O,APC2D3_C_S,APC2D4_C_N,APC2D4_C_O,APC2D4_C_S,APC2D5_C_C,APC2D5_C_N,APC2D5_C_O,APC2D5_C_S,APC2D5_N_O,APC2D6_C_N,APC2D7_C_C,APC2D7_C_N,APC2D7_C_O,APC2D7_C_X,APC2D7_O_O,APC2D8_C_O,APC2D9_C_C,APC2D9_C_N,APC2D9_C_O,APC2D9_N_N,APC2D10_C_N,APC2D10_C_S,APC2D10_N_O
38,COCCC(CC(=O)O)c1ccc(C)c(CN2C[C@@H](C)Oc3ccccc3S2(=O)=O)c1,6.26,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,21,2,6,3,9,30,5,13,4,5,16,4,28,3,18,3,0,2,24,2,15,0,0,9,18,1,9,0,0,1,0
39,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(CCC(=O)O)c(N(CC(=O)O)S(=O)(=O)c3ccc(C)cc3)c3ccccc23)cc1,7.34,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,30,4,6,8,10,37,11,18,10,12,26,9,50,6,34,10,0,5,53,4,38,0,0,28,33,4,28,0,2,4,0
40,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc3c(c2)OCCO3)c2ccccc12)S(=O)(=O)c1ccc2c(c1)OCCO2,7.12,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,27,4,12,8,20,36,10,24,10,10,28,8,44,4,28,8,2,4,39,6,38,0,0,24,30,4,28,0,2,4,2
41,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OCc3ccc(C)cc3)c2)cc1,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,28,4,10,8,15,33,8,24,10,7,30,6,43,4,28,3,0,5,37,10,30,0,2,27,41,6,31,0,3,6,0
42,COc1ccc(S(=O)(=O)Cc2ccc(N(C(C)C(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,6.78,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,26,2,6,5,12,34,5,20,10,5,24,8,39,3,22,6,0,0,38,2,23,0,0,14,23,2,14,0,1,4,0
43,COCCCC(CC(=O)O)c1ccc(C)c(CN2C[C@@H](C)Oc3ccccc3S2(=O)=O)c1,6.26,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,22,2,6,3,9,31,5,13,4,5,15,4,30,3,17,3,0,2,27,2,13,0,2,12,20,0,9,0,1,0,0
44,CC(=O)Nc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(NC(C)=O)cc3)c3ccccc23)cc1,7.85,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,27,8,6,14,10,34,14,18,10,12,28,8,46,4,32,6,0,2,35,10,28,0,0,16,28,10,16,0,8,4,0
45,Cc1ccc(C(CC(=O)OC[C@@H]2CCCN2C)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,6.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,30,11,3,16,5,50,14,12,4,16,16,4,47,9,17,3,1,12,46,16,10,0,0,6,46,17,10,1,13,2,0
46,O=C(NCCCCN=C=S)Nc1ccc2c(c1)OCCO2,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,6,5,4,6,12,6,6,1,6,5,1,8,4,4,1,1,5,8,1,2,0,1,4,6,2,2,0,2,1,0
47,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O,6.48,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,39,18,20,26,21,48,15,27,0,32,45,0,48,32,39,0,16,16,59,28,55,0,7,51,64,12,54,6,24,0,1
48,Cc1ccc([C@@H](NC(=O)Cc2ccc(Cn3cccn3)cc2)[C@@H](C)C(=O)O)cc1,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,22,5,3,9,3,26,8,6,0,8,6,0,24,6,12,0,0,4,22,3,6,0,0,7,15,2,5,1,5,0,0
49,Cc1ccc(C(CC(=O)O)c2cc(F)c(F)c(F)c2)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,6.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,26,2,4,3,8,36,5,12,4,5,14,4,36,3,17,3,0,2,29,3,13,7,0,8,22,1,10,0,0,1,0
50,COc1ccc(S(=O)(=O)N(CC(F)(F)F)c2cnc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,7.13,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,23,6,6,9,10,29,12,20,9,15,22,7,37,9,18,6,4,6,32,9,22,15,0,13,23,5,15,0,3,4,0
51,CN(C)C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3C3CCCC3)c2)c1,6.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,23,6,3,9,3,29,11,8,0,10,4,0,34,8,8,0,0,6,24,6,6,0,0,5,18,3,5,1,5,0,0
52,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc3c(c2)CCO3)c2ccccc12)S(=O)(=O)c1ccc2c(c1)CCO2,6.79,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,29,4,8,8,14,36,10,20,10,10,26,10,40,6,32,8,0,4,45,4,28,0,0,22,30,4,22,0,4,4,0
53,CCOc1cc(N(CC(=O)O)S(=O)(=O)c2ccc(OC)cc2)ccc1N(CC(=O)O)S(=O)(=O)c1ccc(OC)cc1,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,21,4,10,8,15,26,8,22,10,7,28,6,36,4,27,3,0,3,26,6,30,0,2,23,23,4,19,0,2,4,0
54,Cc1ccc(CCC(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc1,6.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,29,2,4,3,8,39,5,12,4,5,14,4,37,3,15,3,0,2,37,2,15,0,0,12,29,2,10,0,2,2,0
55,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OCc3ccc(Oc4ccccc4)cc3)c2)cc1,6.08,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,33,4,12,8,19,38,8,28,10,7,32,6,52,4,29,3,0,5,42,10,32,0,2,31,44,5,35,0,3,5,1
56,Cc1ccc(C(CC(=O)OCCO)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,5.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,27,8,4,13,6,45,14,11,4,15,14,4,43,8,17,3,0,11,41,14,12,0,0,10,29,12,15,1,9,2,1
57,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)c3ccc4c(c3)CN(C)C4)ccc2C)S(=O)(=O)c2ccccc2O1,6.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,29,5,4,5,8,43,7,13,4,8,14,4,44,4,17,4,0,4,39,6,15,0,0,10,29,4,12,0,2,2,0
58,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)CC(C)c3cn(CC)nn3)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,26,5,4,10,8,36,11,13,4,12,14,4,40,7,15,4,0,9,34,10,13,0,0,8,27,6,10,1,3,1,0
59,Cc1ccc(C(CC(=O)O)c2ccc3c(nnn3C)c2C)cc1CN1CC2CCCCC2CCS1(=O)=O,7.26,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,28,5,2,10,4,44,13,8,3,12,10,4,37,7,16,5,0,9,33,11,10,0,0,6,25,6,10,1,3,1,0
60,C[C@H](Oc1cccc(-c2cccc(-n3ncc(C(=O)O)c3[C@@H]3C[C@H]3c3cn(C)nn3)c2)c1)C1CCCCC1,8.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,30,6,4,14,6,38,14,8,0,12,6,0,41,9,9,0,0,10,36,12,7,0,0,5,28,9,9,0,10,0,0
61,CCOc1ccc(S(=O)(=O)Nc2cc(CCC(=O)O)c(NS(=O)(=O)c3ccc(OCC)cc3)c3ccccc23)cc1,6.64,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,28,2,6,6,12,31,11,18,8,12,20,9,33,6,22,8,0,1,41,4,18,0,0,16,25,4,19,0,2,4,0
62,O=C(NCCCCN=C=S)Nc1ccc2scnc2c1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,8,1,6,0,10,8,2,3,7,3,2,6,5,3,1,0,4,7,2,1,0,0,1,5,3,0,0,3,2,0
63,O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CCc2ccccc2[C@H]1CN1Cc2ccccc2C1=O,5.96,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,26,6,4,7,4,37,7,12,0,13,15,0,32,8,7,0,4,5,38,5,13,0,1,9,27,0,13,0,0,0,0
64,CC(C)Oc1cccc(-c2cccc(-n3ncc(C(=O)O)c3C(F)(F)F)n2)c1,5.07,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,17,5,4,10,6,21,10,6,0,9,4,0,22,6,3,0,1,5,15,5,5,6,0,5,8,3,7,0,2,0,0
65,CCOc1ccc(C(Oc2ccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c3ccccc23)C(=O)O)cc1,6.93,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,30,2,8,4,13,40,5,17,7,7,28,4,44,2,25,4,1,2,44,2,26,0,4,15,26,2,19,0,1,2,0
66,CN1CCC(SC(=S)NCCCCNC(=O)Nc2ccc3ncsc3c2)CC1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,11,1,8,0,16,10,2,7,9,3,5,9,7,3,6,0,5,12,3,1,0,0,1,9,6,0,0,7,3,0
67,Cc1ccc(C(CC(=O)O)c2ccc(F)cc2F)cc1CN1CC(C)Cc2cc(CCCN(C)C)ccc2S1(=O)=O,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,31,5,2,4,4,45,7,10,5,6,14,4,44,5,16,4,0,5,40,6,12,5,0,8,30,3,8,1,3,1,0
68,Cc1ccc(C(CC(=O)OCCCN2CCOCC2)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,6.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,30,11,5,16,7,51,15,12,4,15,14,4,46,9,20,3,0,12,47,15,12,0,1,9,40,16,11,1,15,2,0
69,O=C(O)c1cnn(-c2cccc(-c3cccc(CNS(=O)(=O)c4ccccc4)c3)c2)c1C(F)(F)F,4.35,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,24,4,2,10,4,27,11,10,3,8,8,3,26,7,8,2,0,6,23,6,8,6,0,8,20,1,8,1,4,1,2
70,CCC1CN(Cc2cc(C(CC(=O)O)c3ccc4c(nnn4C)c3C)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,28,5,4,10,8,42,13,13,4,13,14,4,44,7,17,4,0,9,36,11,13,0,0,8,27,6,12,1,3,1,0
71,Cc1ccc(C(CC(=O)OC(C)CN(C)C)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,6.26,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,28,11,3,14,6,48,15,11,4,16,16,4,46,9,16,3,1,12,47,16,10,0,0,6,40,18,10,1,15,2,0
72,COc1ccc(C(Oc2ccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c3ccccc23)C(=O)O)cc1,7.11,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,29,2,8,4,12,39,5,17,7,7,28,4,42,2,25,4,1,2,43,2,26,0,4,14,25,2,17,0,1,2,0
73,O=C(O)CN(c1ccc(OC(C(=O)O)c2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(Br)cc1,5.53,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,26,2,6,4,10,31,5,15,5,5,23,4,37,2,24,3,1,1,34,2,20,2,2,10,18,2,10,0,1,2,0
74,CCOc1ccc(S(=O)(=O)Nc2cc3c(C(=O)NO)cn(S(=O)(=O)c4ccc(OCC)cc4)c3c3ccccc23)cc1,6.7,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,28,4,5,8,12,33,13,21,9,13,24,9,37,8,22,7,1,3,38,8,22,0,2,17,24,7,18,0,4,4,1
75,Cc1ccc(C(CC(=O)O)c2ccc(Cl)cc2C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,27,2,4,3,8,39,5,12,4,5,14,4,39,3,17,3,0,2,31,3,13,3,0,8,23,1,10,0,0,1,0
76,Cc1ccc([C@H](CC(=O)O)c2ccc3c(nnn3C)c2C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,27,5,4,10,8,41,13,12,4,12,14,4,41,7,17,3,0,9,33,11,13,0,0,8,25,6,12,1,3,1,0
77,CCCn1ccc(C(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc1=O,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,26,5,5,6,9,39,7,15,4,6,17,4,38,5,20,3,0,5,33,5,13,0,2,12,28,1,13,1,2,0,0
78,CCOc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(NS(=O)(=O)c3ccc(OCC)cc3)c3ccccc23)cc1,6.7,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,26,2,6,6,12,29,10,16,10,11,20,10,30,6,20,10,0,1,37,4,18,0,0,16,24,4,18,0,2,5,0
79,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(/C=C/C(=O)O)c3ccccc23)cc1,4.96,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,21,2,6,4,8,28,5,12,5,5,15,4,29,3,18,3,0,1,21,2,24,0,0,13,14,0,9,0,0,0,0
80,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ncc(N(CC(F)(F)F)S(=O)(=O)c3ccc(F)cc3)c3ccccc23)cc1,6.92,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,23,6,4,9,8,27,12,18,9,15,21,7,36,9,18,6,4,6,32,8,18,17,0,10,20,5,13,0,2,4,0
81,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(-c3ccc(N4C(=O)c5ccccc5C4=O)cc3)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,7.31,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,40,7,10,12,14,56,15,28,10,16,34,9,71,9,36,9,0,7,74,9,48,0,0,36,60,13,31,0,11,8,6
82,CC(=O)Nc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(OC(C(=O)O)c3ccccc3)c3ccccc23)cc1,5.28,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,27,4,7,7,11,34,7,16,5,6,25,4,40,2,26,3,1,1,34,5,22,0,2,12,23,5,12,0,4,2,0
83,O=S(=O)(/C=C(\CO)CN1CCC(CN=C=S)CC1)c1ccccc1,4.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,5,1,4,5,15,5,8,5,3,8,2,15,1,5,4,2,4,11,3,7,0,0,4,11,0,2,0,1,3,2
84,CCOc1cccnc1Cc1ccc(CC(=O)N[C@H](c2ccc(C)cc2)[C@@H](C)C(=O)O)cc1,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,26,4,5,6,6,33,7,8,0,7,8,0,30,6,14,0,0,3,29,2,7,0,0,9,19,1,6,1,3,0,1
85,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2ccc(OC(C(=O)O)c3ccccc3)c3ccccc23)c(C)c1,6.24,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,29,2,6,4,10,37,5,15,7,7,27,4,41,2,24,4,1,2,42,2,24,0,2,10,23,2,14,0,1,2,0
86,Cc1ccc(C(CCc2cn(C(C)C)nn2)CC(=O)O)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,25,5,4,11,8,34,11,12,4,10,14,4,34,7,15,3,0,9,30,10,13,0,0,8,27,6,10,1,3,1,0
87,CCOc1ccc(S(=O)(=O)Nc2cc(SCC(=O)OC)c(NS(=O)(=O)c3ccc(OCC)cc3)c3ccccc23)cc1,6.14,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,26,2,7,6,12,30,10,17,10,11,20,11,31,6,20,10,0,1,39,5,18,0,0,16,27,4,20,0,2,5,0
88,Cc1ccc(CC(=O)N[C@H](c2ccc(C)c(OCC3CCCC3)c2)[C@@H](C)C(=O)O)cc1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,26,2,5,3,6,28,5,11,0,4,10,0,29,3,13,0,1,3,33,2,7,0,3,11,23,2,9,0,0,0,0
89,CC[C@@H]1CN(Cc2cc(C(CCc3cn(CC)nn3)CC(=O)O)ccc2C(F)(F)F)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,25,5,4,10,8,34,10,13,4,10,14,4,36,7,15,4,0,9,32,10,13,12,0,8,26,6,10,1,3,1,0
90,COc1ccc(S(=O)(=O)N(CC(=O)O)c2nnc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,5.96,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,22,6,8,10,12,26,14,20,8,20,22,6,32,14,20,6,8,10,29,12,32,0,0,16,22,6,16,0,4,4,0
91,CN1CCC(SC(=S)NCCCCNC(=O)OCc2ccccc2Cl)CC1,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,7,3,4,1,15,5,5,5,5,5,4,9,5,5,5,0,4,12,3,1,1,0,2,10,4,0,0,5,2,0
92,O=C(NCCCN=C=S)OCc1ccccc1,5.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,3,2,1,8,3,5,1,1,5,1,4,4,5,1,0,2,5,2,3,0,0,0,4,2,0,0,2,1,0
93,Cc1ccc(C(CC(=O)O)c2ccccc2)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,6.26,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,26,2,4,3,8,36,5,12,4,5,14,4,36,3,17,3,0,2,29,3,13,0,0,8,22,1,10,0,0,1,0
94,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ncccc23)cc1,7.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,23,6,8,11,12,29,12,20,10,11,26,7,39,7,26,5,2,6,31,10,30,0,0,18,23,5,17,0,3,4,1
95,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)c3ccc4c(nnn4C)c3C)ccc2C)S(=O)(=O)c2cccnc2O1,7.26,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,26,7,4,12,7,40,15,13,3,14,12,4,42,9,17,4,0,10,34,13,13,0,0,8,25,8,12,1,5,1,0
